Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2012,344919704,424230185,0.1858,8526478,45878596,1391,18555198,43521424,234176630,45884,368714,24714,1495992,805,410958,0,917,0,200251,4887,39632,0,83314,0,11060701,47908310,53687,6485,410958,84748
2012-Q4,,106057546,0.1797,2207739,12289059,386,4496355,10805879,60265338,11499,,,,,,,,,,,,,,,,,,,,
2012-Q3,,106057546,0.1864,1945426,10438181,338,4703619,10914022,58498829,11041,,,,,,,,,,,,,,,,,,,,
2012-Q2,,106057546,0.1876,2157491,11499956,283,4381476,10768497,57397780,11323,,,,,,,,,,,,,,,,,,,,
2012-Q1,,106057546,0.1902,2215822,11651400,384,4973748,11033026,58014683,12021,,,,,,,,,,,,,,,,,,,,
2011,,453587807,0.2057,10230235,49732765,2210,18335333,38785481,188549841,44895,,,1360844,,,,8617,,218103,,,,,,,6803910,113305,57849,389449,275667
2011-Q4,,113396952,0.2073,2468978,11912438,520,4885828,9340556,45065773,10471,,,,,,,,,,,,,,,,,,,,
2011-Q3,,113396952,0.2041,2331255,11422696,478,5282709,9784243,47953067,11266,,,,,,,,,,,,,,,,,,,,
2011-Q2,,113396952,0.2030,2794807,13768302,629,4088629,9758896,48076104,11159,,,,,,,,,,,,,,,,,,,,
2011-Q1,,113396952,0.2087,2635195,12629329,583,4078167,9901786,47454897,11999,,,,,,,,,,,,,,,,,,,,
2010,,442499823,0.2206,9546577,43281612,4555,16895159,40661788,184349604,44484,,,,,,,,,,,,,,,,,,,,
2010-Q4,,110624956,0.2190,4968376,22685912,1403,5558452,9872708,46265329,10185,,,,,,,,,,,,,,,,,,,,
2010-Q3,,110624956,0.2182,1951845,8945175,1127,3842475,10335818,47368367,11629,,,,,,,,,,,,,,,,,,,,
2010-Q2,,110624956,0.2246,1387217,6176635,1021,3818491,10295352,45843411,11506,,,,,,,,,,,,,,,,,,,,
2010-Q1,,110624956,0.2264,1239139,5473890,1004,3675741,10157910,44872497,11164,,,,,,,,,,,,,,,,,,,,
2009,,412605486,0.2258,7284458,32266523,5671,12139482,35053993,155271741,44392,,,,,,,,,,,,,,,13817321,8896261,,,,
2009-Q4,,103151372,,811624,7687852,1387,-263699,5519892,42982280,11757,,,,,,,,,,,,,,,,,,,,
2009-Q3,,103151372,,1947286,7489560,1300,4464540,10865558,41790606,11261,,,,,,,,,,,,,,,,,,,,
2009-Q2,,103151372,,2301321,8851233,1702,4063594,9519827,36614720,10978,,,,,,,,,,,,,,,,,,,,
2009-Q1,,103151372,,2224227,8237878,1282,3875047,9148716,33884135,10396,,,,,,,,,,,,,,,,,,,,
2008,,382839029,0.2731,8202679,30035100,4544,11449773,32329457,115458863,35411,,,,,,,,,,,,,,,,,,,,
2008-Q4,,95709757,,2609661,9320218,1479,2586605,8214612,28326247,9098,,,,,,,,,,,,,,,,,,,,
2008-Q3,,95709757,,1641996,6081466,1474,3649673,8163507,29155381,9040,,,,,,,,,,,,,,,,,,,,
2008-Q2,,95709757,,1509122,5589341,774,2763126,8329579,29748498,8537,,,,,,,,,,,,,,,,,,,,
2008-Q1,,95709757,,2441900,9044075,817,2450369,7621759,28228737,8736,,,,,,,,,,,,,,,,,,,,
