Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2012,165655813,206960131,0.1878,6519113,34713062,1774,-348805,27769632,147841547,28883,907350,17386,1049059,942,4633750,0,98915,704,169953,200,31528,6269,61012,0,4789595,23195188,0,27613,4633750,49536
2012-Q4,,55036968,0.1812,1990705,10985822,361,-1373904,7833894,43412851,7003,249794,3880,194628,162,814101,0,14475,186,57343,40,24644,6002,24753,0,593303,1776554,0,26598,3976194,6393
2012-Q3,,55036968,0.1905,1954264,10261279,468,268727,6664084,35033656,6825,233968,3406,278491,253,0,0,20264,241,60714,60,3848,62,12291,0,682407,8470520,0,248,233968,16139
2012-Q2,,55036968,0.1892,1364203,7210423,341,878563,6578926,34827329,7228,220897,4314,190633,202,0,0,27022,184,6361,40,613,100,11558,0,1608088,4025328,0,248,220897,12171
2012-Q1,45941100,41849227,0.1936,1209941,6249316,604,-122191,6692728,34567711,7827,202691,5786,385307,325,0,0,37154,93,45535,60,2423,105,12410,0,1905797,8922786,0,520,202691,14833
2011,146479074,162044093,0.1840,6477145,35197593,2588,-1757755,22945820,124690384,27332,650643,20820,825029,871,1364371,0,54773,93,224633,7,58575,7371,79483,0,3759052,19847857,427605,31303,4964041,138058
2011-Q4,36637306,34531420,0.1747,1756977,10059408,612,566871,5802802,33391866,6879,147040,4285,136451,155,0,0,34856,0,86670,7,44156,1864,25203,0,113882,22454594,106901,7826,170791,69359
2011-Q3,25137006,44291624,0.1879,1944809,10349418,718,-615983,5863013,31191924,6738,171419,3761,285839,238,0,0,19917,0,36043,0,5348,1578,12573,0,960236,693548,106901,7826,171419,17921
2011-Q2,42830003,41371822,0.1860,1372343,7377927,690,-1027155,5578865,29992719,6740,191821,5833,72665,151,0,0,0,0,96134,0,5372,1848,26815,0,1103035,1165364,106901,7826,191821,32187
2011-Q1,41874759,41849227,0.1893,1403016,7410840,568,-681488,5701140,30113875,6975,140363,6941,330074,327,1364371,0,0,0,5786,0,3699,2081,14892,0,1581899,837397,106901,7826,4430010,18591
2010,158907854,154401968,0.1911,7158445,37459946,3688,-1427776,23589169,123441472,27709,837670,28072,1407226,1277,1309904,0,0,0,49123,0,48258,6922,88612,0,7061236,2953858,,,5016548,136870
2010-Q4,,38600492,0.1923,3308767,17203802,1056,-446588,5058693,25935662,6332,173031,6098,188938,325,1309904,0,0,0,20671,0,29441,2073,23518,0,,,,,4351909,52959
2010-Q3,,38600492,0.1883,1331696,7072080,919,-297322,7386785,39155454,6363,179323,8998,372048,319,0,0,0,0,1699,0,4331,750,22712,0,,,,,179323,27043
2010-Q2,,38600492,0.1881,1388148,7381715,944,-1249231,5459109,29156742,7410,181905,5879,200321,225,0,0,0,0,13920,0,9907,2196,22117,0,,,,,181905,32024
2010-Q1,,38600492,0.1947,1129834,5802349,769,565365,5684582,29193614,7604,303411,7097,645919,408,0,0,0,0,12833,0,4579,1903,20265,0,,,,,303411,24844
2009,,169224883,,5367773,27617954,4079,1818372,24784551,127520044,32092,1214365,28031,1274090,1087,1091567,0,0,0,46497,0,76461,9801,169100,0,1797922,4018672,,,2296696,209325
2009-Q4,,42306221,,336777,6071615,1128,-4425879,1478579,29677405,7960,518795,6756,157285,152,0,0,0,0,28757,0,62007,2301,22815,0,,,,,509559,48586
2009-Q3,,42306221,,1178933,4494152,934,2910014,8863457,33787949,7900,231763,6602,259796,250,0,0,0,0,10178,0,4883,2441,34485,0,,,,,231763,39368
2009-Q2,,42306221,0.2143,1831974,8549624,933,1283010,7132932,33288622,8305,249758,7223,178569,213,0,0,0,0,4912,0,4766,2569,52612,0,,,,,249758,57378
2009-Q1,,42306221,0.2376,2020089,8502563,1084,2051227,7309583,30766068,7927,214049,7450,678440,472,1091567,0,0,0,2650,0,4805,2490,59188,0,,,,,1305616,63993
2008,,173101263,,6793808,,4239,9562708,29485442,,25922,,,,,,,,,,,,,,,,,,,,
2008-Q4,,43275316,,1788620,,2403,4800651,8421114,,4666,,,,,,,,,,,,,,,,,,,,
2008-Q3,,43275316,,2092476,,838,1505756,6584334,,6883,,,,,,,,,,,,,,,,,,,,
2008-Q2,,43275316,,1401797,,481,1048510,7096709,,7005,,,,,,,,,,,,,,,,,,,,
2008-Q1,,43275316,,1510915,,517,2207791,7383285,,7368,,,,,,,,,,,,,,,,,,,,
