Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2015-Q1,51152156,48507230,0.2477,538498,2216955,514,2225786,27786831,6749421,3081265,3668156,3149,38703,2691,4243547,330,179259,404,0,0,3600,0,719,41,39326,8,2011809,292880,71141,14101,130,38703,817
2014,195605325,194424042,0.1981,2679172,13524341,3655,-538604,74142412,,,,1052,183459,12902,14341984,842,2476932,0,160137,0,2257,0,7100,571,1020,16,-649199,5883367,1165495,52888,15180,2660391,184479
2014-Q4,,48606011,,561919,3346423,,,16661185,,,,,49453,3914,68370,143,619233,0,17137,0,75,0,2514,311,0,0,-162300,1470842,291374,13992,13332,3873565,2514
2014-Q3,,48606011,,561919,3346423,,,16661185,,,,,44811,3177,86019,344,619233,0,29000,0,1884,0,2667,40,248,16,-162300,1470842,291374,16106,107,44811,2915
2014-Q2,,48606011,,256258,1223254,256,1557444,23335268,5243410,,,446,41061,2727,50192,153,619233,0,57000,0,0,0,2083,115,256,0,-162300,1470842,291374,11140,1130,41061,2339
2014-Q1,,48606011,,1299076,5608241,199,1343779,17484775,4050816,,,47,46626,2962,79402,180,619233,0,57000,0,298,0,1984,249,516,0,-162300,1470842,291374,11650,611,46626,2500
2013,204535426,195918486,0.2431,2105511,8661090,1717,1889318,,,,,15551,208175,10720,8256632,826,2579680,0,266400,0,5795,100,21397,433,150584,3,14259313,9753110,2370981,51124,3461,1987774,171981
2013-Q4,,48979622,,526378,2165273,429,472330,,,,,3888,35308,3147,7989574,164,644920,0,266400,0,2167,0,5317,285,37239,0,3564828,2438278,592745,10487,541,2622535,42556
2013-Q3,,48979622,,526378,2165273,429,472330,,,,,3888,43661,2649,54146,232,644920,0,0,0,3478,0,8265,134,37361,0,3564828,2438278,592745,18712,264,43661,45626
2013-Q2,,48979622,,526378,2165273,429,472330,,,,,3888,75967,2544,59382,164,644920,0,0,0,125,0,1716,35,37305,0,3564828,2438278,592745,7131,1065,73178,39021
2013-Q1,,48979622,,526378,2165273,429,472330,,,,,3888,55500,2380,150002,230,644920,0,0,0,25,100,6614,15,38679,3,3564828,2438278,592745,8351,1593,51004,45293
2012,159585710,204675300,0.2227,2009628,9023925,1870,13618916,,,,,16869,588730,14682,6265775,398,7139477,20,0,0,47758,1,13612,95,8949,82,-3139919,2693375,599815,,4575,7139477,22561
2012-Q4,,51168825,,502407,2255981,468,3404729,,,,,4217,290939,10731,6209442,287,5577529,15,0,0,40000,0,7222,30,2689,34,-784980,673344,149954,,1402,6839720,9911
2012-Q3,,51168825,,502407,2255981,468,3404729,,,,,4217,60459,704,7968,1,0,0,0,0,7758,1,6260,48,0,0,-784980,673344,149954,,2219,60459,6260
2012-Q2,,51168825,,502407,2255981,468,3404729,,,,,4217,231334,2503,16380,3,1966,5,0,0,0,0,2080,15,0,0,-784980,673344,149954,,640,233300,2080
2012-Q1,,51168825,,502407,2255981,468,3404729,,,,,4217,5998,744,31985,107,0,0,0,0,0,0,4310,50,0,0,-784980,673344,149954,,314,5998,4310
2011,,197671170,,1459674,,,,,,,,,,,16411646,,,,0,,7752,,,,,,,1799840,,61113,0,933127,3188833
2011-Q4,,49417793,,364919,,,,,,,,,330291,13033,4352345,344,0,0,0,0,44400,0,0,0,43277,0,,,,,,,
2011-Q3,,49417793,,364919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,49417793,,364919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,49417793,,364919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,189783508,,1527313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,,47445877,,381828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,47445877,,381828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,47445877,,381828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,47445877,,381828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,192549785,,1487625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,48137446,,371906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,48137446,,371906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,48137446,,371906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,48137446,,371906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,182459445,,1698480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,45614861,,424620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,45614861,,424620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,45614861,,424620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,45614861,,424620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
