Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2013,74311447,69543618,0.2200,846834,4003077,74,1103555,4964101,22562033,3587,59585,4689,38509,12,0,0,0,0,158283,4244,48800,38,72453,0,5913279,229988,7611,8901,0,121856
2013-Q4,,17385905,,,,,,,,,10568,965,19342,16,0,0,0,0,147807,3883,11809,12,21872,0,,,2152,1856,12474,33681
2013-Q3,,17385905,,,,,,,,,37769,1473,18928,12,0,0,0,0,2647,78,2927,0,2946,0,,,1199,4422,37769,5873
2013-Q2,,17385905,,,,,,,,,8502,1246,19971,0,0,0,0,0,5342,82,5516,0,24471,0,,,1587,1666,8502,29987
2013-Q1,17654416,17385905,0.2127,48287,227072,19,1874448,1157124,5441448,1355,2746,1005,0,0,0,0,0,0,2193,201,2388,0,23164,0,1952685,1189036,1149,891,2746,25552
2012,67721115,76738700,0.2220,65221,293788,120,893199,4941140,22259486,3143,76454,1947,327477,13,53066,0,0,0,145616,6386,22231,0,8674,76,2984141,1391587,5444,1048,53066,30905
2012-Q4,,19184675,,,,,,,,,6859,989,323359,6,0,0,0,0,134422,1574,5403,0,2267,0,,,5444,0,9852,7670
2012-Q3,,19184675,,,,,,,,,20821,592,877,0,0,0,0,0,6447,1770,3852,0,5273,76,,,0,380,20821,9125
2012-Q2,,19184675,,,,,,,,,10603,368,1106,5,273,0,0,0,3367,1612,5637,0,413,0,,,0,668,9565,7361
2012-Q1,,19184675,,,,,,,,,0,0,2135,2,2468,0,0,0,1380,1430,6028,0,721,0,,,0,0,12828,6749
2011,,79158057,,1207166,,,3099840,,,,78420,2338,493929,196,10393,5,0,0,184986,14662,0,0,1321,0,-6259955,1256061,0,0,886150,115026
2011-Q4,,19789514,,,,,,,,,6961,350,450612,37,1840,0,0,0,146401,2215,,,,,,,0,0,8801,0
2011-Q3,,19789514,,,,,,,,,60364,1534,43317,159,3192,0,0,0,15987,4190,,,,,,,0,0,63556,0
2011-Q2,,19789514,,,,,,,,,9163,410,0,0,1615,0,0,0,21690,6775,,,1321,,,,0,0,10778,1321
2011-Q1,,19789514,,,,,,,,,1932,44,0,0,3746,5,0,0,908,1482,,,,,,,0,0,5678,0
2010,,89728648,,841973,,,3311399,,,,140127,2319,23232,,1225843,0,0,0,23281,2710,,,800,,,1900096,3064,0,333214,
2010-Q4,,22432162,,,,,,,,,4285,0,0,0,3410,0,0,0,1717,1400,,,,,,,,,,
2010-Q3,,22432162,,,,,,,,,95478,2319,11439,0,889219,0,0,0,21564,1310,,,,,,,,,,
2010-Q2,,22432162,,,,,,,,,40364,0,0,0,333214,0,0,0,0,0,,,800,,,,,,,
2010-Q1,,22432162,,,,,,,,,0,0,11793,0,0,0,0,0,0,0,,,,,,,,,,
2009,,73685695,,186520,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,18421424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,18421424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,18421424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,18421424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,64933561,,474232,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,16233390,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,16233390,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,16233390,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,16233390,,,,,,,,,,,,,,,,,,,,,,,,,,,,
