Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2013-Q4,,48979622,,526378,2165273,429,472330,,,3888,35308,3147,7989574,164,644920,0,266400,0,2167,0,5317,285,37239,0,3564828,2438278,10487,541,2622535,42556
2013-Q3,,48979622,,526378,2165273,429,472330,,,3888,43661,2649,54146,232,644920,0,0,0,3478,0,8265,134,37361,0,3564828,2438278,18712,264,43661,45626
2013-Q2,,48979622,,526378,2165273,429,472330,,,3888,75967,2544,59382,164,644920,0,0,0,125,0,1716,35,37305,0,3564828,2438278,7131,1065,73178,39021
2013-Q1,,48979622,,526378,2165273,429,472330,,,3888,55500,2380,150002,230,644920,0,0,0,25,100,6614,15,38679,3,3564828,2438278,8351,1593,51004,45293
2012,159585710,204675300,0.2227,2009628,9023925,1870,13618916,0,,16869,588730,14682,6265775,398,7139477,20,0,0,47758,1,13612,95,8949,82,-3139919,2693375,,4575,7139477,22561
2012-Q4,,51168825,,502407,2255981,468,3404729,,,4217,290939,10731,6209442,287,5577529,15,0,0,40000,0,7222,30,2689,34,-784980,673344,,1402,6839720,9911
2012-Q3,,51168825,,502407,2255981,468,3404729,,,4217,60459,704,7968,1,0,0,0,0,7758,1,6260,48,0,0,-784980,673344,,2219,60459,6260
2012-Q2,,51168825,,502407,2255981,468,3404729,,,4217,231334,2503,16380,3,1966,5,0,0,0,0,2080,15,0,0,-784980,673344,,640,233300,2080
2012-Q1,,51168825,,502407,2255981,468,3404729,,,4217,5998,744,31985,107,0,0,0,0,0,0,4310,50,0,0,-784980,673344,,314,5998,4310
2011,,197671170,,1459674,,,,,,,,,16411646,,,,0,,7752,,,,,,,1799840,61113,0,933127,3188833
2011-Q4,,49417793,,364919,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,49417793,,364919,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,49417793,,364919,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,49417793,,364919,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,189783508,,1527313,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,,47445877,,381828,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,47445877,,381828,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,47445877,,381828,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,47445877,,381828,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,192549785,,1487625,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,48137446,,371906,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,48137446,,371906,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,48137446,,371906,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,48137446,,371906,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,182459445,,1698480,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,45614861,,424620,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,45614861,,424620,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,45614861,,424620,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,45614861,,424620,,,,,,,,,,,,,,,,,,,,,,,,,,
